別れの予感,テレサ・テン
時代,德永英明
しゃぼん玉,長渕剛
YELLOW YELLOW HAPPY,ポケットビスケッツ
真夏の夜の夢,松任谷由実
夏を抱きしめて,TUBE
You're the Only・・・,小野正利
こころ,小田和正
My Revolution,渡辺美里
やっぱ好きやねん,やしきたかじん
ごめんね・・・,高橋真梨子
愛は勝つ,杏
CROSS ROAD,Mr.Children
ANNIVERSARY,松任谷由実
IT'S ONLY LOVE (Original Version),福山雅治
サボテンの花,財津和夫
Forget-me-not,尾崎豊
時代,クリス・ハート
しあわせになろうよ,長渕剛
ほっとけないよ,楠瀬誠志郎
フレンズ,REBECCA
ロンリー・チャップリン,鈴木聖美
WOMAN,アン・ルイス
翼の折れたエンジェル,中村あゆみ
瑠璃色の地球,松田聖子
星屑のステージ,チェッカーズ
時代,薬師丸ひろ子
オリビアを聴きながら - ライブ,杏里
かもめが翔んだ日,渡辺真知子
川の流れのように,美空ひばり
あなたに逢いたくて~Missing You~,松田聖子
明日、春が来たら,松たか子
LOVE 2000,hitomi
上・京・物・語,シャ乱Q
道化師のソネット,さだまさし
愛のメモリー,松崎しげる
あの鐘を鳴らすのはあなた,和田アキ子
異邦人,久保田早紀
桃色吐息,高橋真梨子
地上の星,坂本冬美
六本木心中,アン・ルイス
夢で逢えたら,ラッツ & スター
Love is...,河村隆一
天城越え,石川さゆり
サマータイム ブルース,渡辺美里
わがままジュリエット,BOØWY
Choo Choo TRAIN,ZOO
ファイト!,槇原敬之
抱いて…,松田聖子
春なのに,柏原芳恵
DESTINY,松任谷由実
ジュリアン,PRINCESS PRINCESS
卒業写真,荒井由実
空を見なよ,シャ乱Q
サライ,谷村新司
FACE,globe
SOMEDAY,佐野元春
PIECE OF MY WISH,今井美樹
真夏の果実,サザンオールスターズ
ZOO 〜愛をください〜,蓮井 朱夏
オリビアを聴きながら,尾崎亜美
ガンダーラ,ゴダイゴ
田園,安全地帯
津軽海峡・冬景色,石川さゆり
翼の折れたエンジェル (2019 Remaster),中村あゆみ
なごり雪 (シングルバージョン),イルカ
また君に恋してる,坂本冬美
あゝ無情,アン・ルイス
ONLY YOU,BOØWY
J.Boy(live / 2011),浜田省吾
セーラー服と機関銃 - オリジナル・バージョン,薬師丸ひろ子
青い珊瑚礁,松田聖子
リフレインが叫んでる,松任谷由実
寒い夜だから・・・,TRF
